"","x"
"Doc01.txt",3
"Doc02.txt",3
"Doc03.txt",2
"Doc04.txt",2
"Doc05.txt",2
"Doc06.txt",3
"Doc07.txt",2
"Doc08.txt",3
"Doc09.txt",3
"Doc10.txt",2
"Doc11.txt",3
"Doc12.txt",2
"Doc13.txt",2
"Doc14.txt",2
"Doc15.txt",2
"Doc16.txt",2
"Doc17.txt",2
"Doc18.txt",2
"Doc19.txt",1
"Doc20.txt",1
"Doc21.txt",3
"Doc22.txt",3
"Doc23.txt",2
"Doc24.txt",2
"Doc25.txt",2
"Doc26.txt",2
"Doc27.txt",2
"Doc28.txt",2
"Doc29.txt",3
"Doc30.txt",3
"Doc31.txt",2
"Doc32.txt",2
"Doc33.txt",2
"Doc34.txt",2
"Doc35.txt",1
"Doc36.txt",2
"Doc37.txt",2
"Doc38.txt",2
"Doc39.txt",3
"Doc40.txt",1
"Doc41.txt",3
